@relation 'tripadvisor_review-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-3,5-7,9-10_clustered'

@attribute Instance_number numeric
@attribute 'Category 4' numeric
@attribute 'Category 8' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,0.62,2.79,cluster1
1,0.64,2.63,cluster2
2,0.53,2.8,cluster1
3,0.57,2.96,cluster3
4,0.57,2.78,cluster1
5,0.27,2.89,cluster1
6,0.32,2.66,cluster2
7,0.41,2.81,cluster1
8,0.64,2.79,cluster1
9,0.26,2.82,cluster1
10,0.75,2.89,cluster1
11,0.38,2.93,cluster1
12,0.45,2.87,cluster1
13,0.45,2.91,cluster1
14,0.51,2.82,cluster1
15,0.5,2.74,cluster2
16,0.34,2.73,cluster2
17,0.66,3.04,cluster3
18,0.38,2.86,cluster1
19,0.58,2.93,cluster1
20,0.41,2.7,cluster2
21,0.42,2.74,cluster2
22,0.41,2.74,cluster2
23,0.41,2.71,cluster2
24,0.54,2.77,cluster1
25,0.48,2.54,cluster2
26,0.75,2.57,cluster2
27,0.59,2.79,cluster1
28,0.38,2.69,cluster2
29,0.45,2.75,cluster2
30,0.5,2.78,cluster1
31,0.63,2.65,cluster2
32,0.41,2.8,cluster1
33,0.58,2.9,cluster1
34,0.29,2.94,cluster1
35,0.43,3.01,cluster3
36,0.32,2.78,cluster1
37,0.5,2.91,cluster1
38,0.62,2.86,cluster1
39,0.62,2.88,cluster1
40,0.24,2.61,cluster2
41,0.41,2.74,cluster2
42,0.24,2.82,cluster1
43,0.56,2.86,cluster1
44,0.62,3.1,cluster3
45,0.39,2.9,cluster1
46,0.34,3.15,cluster3
47,0.35,2.86,cluster1
48,0.4,2.9,cluster1
49,0.65,2.62,cluster2
50,0.38,2.93,cluster1
51,0.48,2.71,cluster2
52,0.47,2.59,cluster2
53,0.51,2.82,cluster1
54,0.58,2.78,cluster1
55,0.37,2.94,cluster1
56,0.54,2.86,cluster1
57,0.39,2.82,cluster1
58,0.64,2.79,cluster1
59,0.64,2.81,cluster1
60,0.55,2.62,cluster2
61,0.45,3.03,cluster3
62,0.45,2.82,cluster1
63,0.42,3.1,cluster3
64,0.37,2.9,cluster1
65,0.62,2.78,cluster1
66,0.43,2.79,cluster1
67,0.5,2.77,cluster1
68,0.34,2.8,cluster1
69,0.48,2.74,cluster2
70,0.67,2.82,cluster1
71,0.96,2.82,cluster1
72,0.47,2.81,cluster1
73,0.41,2.83,cluster1
74,0.56,2.86,cluster1
75,0.45,2.69,cluster2
76,0.42,2.81,cluster1
77,0.65,2.79,cluster1
78,0.35,2.78,cluster1
79,0.47,2.7,cluster2
80,0.4,3.07,cluster3
81,0.46,2.83,cluster1
82,1.65,2.62,cluster0
83,0.58,2.88,cluster1
84,0.5,2.96,cluster3
85,0.34,2.87,cluster1
86,1.1,2.69,cluster2
87,0.39,2.79,cluster1
88,1.68,2.71,cluster0
89,0.54,2.86,cluster1
90,0.53,2.81,cluster1
91,0.49,2.91,cluster1
92,0.54,2.74,cluster2
93,0.64,2.79,cluster1
94,0.64,2.67,cluster2
95,0.46,2.98,cluster3
96,0.55,2.79,cluster1
97,0.37,2.91,cluster1
98,0.53,2.86,cluster1
99,0.47,2.86,cluster1
100,0.5,2.9,cluster1
101,0.37,2.94,cluster1
102,0.65,2.82,cluster1
103,0.45,2.67,cluster2
104,0.39,2.9,cluster1
105,0.39,2.73,cluster2
106,0.53,2.94,cluster1
107,0.43,2.74,cluster2
108,0.39,2.8,cluster1
109,0.53,2.83,cluster1
110,0.67,2.96,cluster3
111,0.34,2.85,cluster1
112,0.66,2.79,cluster1
113,0.49,3.04,cluster3
114,0.96,2.82,cluster1
115,0.61,3.01,cluster3
116,0.51,2.83,cluster1
117,0.54,2.78,cluster1
118,0.45,2.58,cluster2
119,0.43,2.7,cluster2
120,0.56,2.82,cluster1
121,0.66,2.82,cluster1
122,0.42,2.58,cluster2
123,0.69,2.86,cluster1
124,0.59,2.72,cluster2
125,0.46,2.79,cluster1
126,0.33,2.77,cluster1
127,0.66,2.81,cluster1
128,0.35,2.89,cluster1
129,0.39,2.7,cluster2
130,0.46,2.71,cluster2
131,0.51,2.85,cluster1
132,0.55,2.74,cluster2
133,0.62,3.02,cluster3
134,0.3,2.69,cluster2
135,0.61,2.99,cluster3
136,0.61,3.02,cluster3
137,0.53,2.85,cluster1
138,0.37,2.8,cluster1
139,0.39,3.01,cluster3
140,0.3,2.93,cluster1
141,0.46,2.82,cluster1
142,0.42,2.7,cluster2
143,0.45,2.71,cluster2
