@relation 'tripadvisor_review-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-3,5-7,9-10_clustered'

@attribute Instance_number numeric
@attribute 'Category 4' numeric
@attribute 'Category 8' numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,0.62,2.79,cluster2
1,0.64,2.63,cluster2
2,0.53,2.8,cluster2
3,0.57,2.96,cluster1
4,0.57,2.78,cluster2
5,0.27,2.89,cluster1
6,0.32,2.66,cluster2
7,0.41,2.81,cluster2
8,0.64,2.79,cluster2
9,0.26,2.82,cluster2
10,0.75,2.89,cluster1
11,0.38,2.93,cluster1
12,0.45,2.87,cluster1
13,0.45,2.91,cluster1
14,0.51,2.82,cluster2
15,0.5,2.74,cluster2
16,0.34,2.73,cluster2
17,0.66,3.04,cluster1
18,0.38,2.86,cluster1
19,0.58,2.93,cluster1
20,0.41,2.7,cluster2
21,0.42,2.74,cluster2
22,0.41,2.74,cluster2
23,0.41,2.71,cluster2
24,0.54,2.77,cluster2
25,0.48,2.54,cluster2
26,0.75,2.57,cluster2
27,0.59,2.79,cluster2
28,0.38,2.69,cluster2
29,0.45,2.75,cluster2
30,0.5,2.78,cluster2
31,0.63,2.65,cluster2
32,0.41,2.8,cluster2
33,0.58,2.9,cluster1
34,0.29,2.94,cluster1
35,0.43,3.01,cluster1
36,0.32,2.78,cluster2
37,0.5,2.91,cluster1
38,0.62,2.86,cluster1
39,0.62,2.88,cluster1
40,0.24,2.61,cluster2
41,0.41,2.74,cluster2
42,0.24,2.82,cluster2
43,0.56,2.86,cluster1
44,0.62,3.1,cluster1
45,0.39,2.9,cluster1
46,0.34,3.15,cluster1
47,0.35,2.86,cluster1
48,0.4,2.9,cluster1
49,0.65,2.62,cluster2
50,0.38,2.93,cluster1
51,0.48,2.71,cluster2
52,0.47,2.59,cluster2
53,0.51,2.82,cluster2
54,0.58,2.78,cluster2
55,0.37,2.94,cluster1
56,0.54,2.86,cluster1
57,0.39,2.82,cluster2
58,0.64,2.79,cluster2
59,0.64,2.81,cluster2
60,0.55,2.62,cluster2
61,0.45,3.03,cluster1
62,0.45,2.82,cluster2
63,0.42,3.1,cluster1
64,0.37,2.9,cluster1
65,0.62,2.78,cluster2
66,0.43,2.79,cluster2
67,0.5,2.77,cluster2
68,0.34,2.8,cluster2
69,0.48,2.74,cluster2
70,0.67,2.82,cluster2
71,0.96,2.82,cluster2
72,0.47,2.81,cluster2
73,0.41,2.83,cluster2
74,0.56,2.86,cluster1
75,0.45,2.69,cluster2
76,0.42,2.81,cluster2
77,0.65,2.79,cluster2
78,0.35,2.78,cluster2
79,0.47,2.7,cluster2
80,0.4,3.07,cluster1
81,0.46,2.83,cluster2
82,1.65,2.62,cluster0
83,0.58,2.88,cluster1
84,0.5,2.96,cluster1
85,0.34,2.87,cluster1
86,1.1,2.69,cluster2
87,0.39,2.79,cluster2
88,1.68,2.71,cluster0
89,0.54,2.86,cluster1
90,0.53,2.81,cluster2
91,0.49,2.91,cluster1
92,0.54,2.74,cluster2
93,0.64,2.79,cluster2
94,0.64,2.67,cluster2
95,0.46,2.98,cluster1
96,0.55,2.79,cluster2
97,0.37,2.91,cluster1
98,0.53,2.86,cluster1
99,0.47,2.86,cluster1
100,0.5,2.9,cluster1
101,0.37,2.94,cluster1
102,0.65,2.82,cluster2
103,0.45,2.67,cluster2
104,0.39,2.9,cluster1
105,0.39,2.73,cluster2
106,0.53,2.94,cluster1
107,0.43,2.74,cluster2
108,0.39,2.8,cluster2
109,0.53,2.83,cluster2
110,0.67,2.96,cluster1
111,0.34,2.85,cluster1
112,0.66,2.79,cluster2
113,0.49,3.04,cluster1
114,0.96,2.82,cluster2
115,0.61,3.01,cluster1
116,0.51,2.83,cluster2
117,0.54,2.78,cluster2
118,0.45,2.58,cluster2
119,0.43,2.7,cluster2
120,0.56,2.82,cluster2
121,0.66,2.82,cluster2
122,0.42,2.58,cluster2
123,0.69,2.86,cluster1
124,0.59,2.72,cluster2
125,0.46,2.79,cluster2
126,0.33,2.77,cluster2
127,0.66,2.81,cluster2
128,0.35,2.89,cluster1
129,0.39,2.7,cluster2
130,0.46,2.71,cluster2
131,0.51,2.85,cluster1
132,0.55,2.74,cluster2
133,0.62,3.02,cluster1
134,0.3,2.69,cluster2
135,0.61,2.99,cluster1
136,0.61,3.02,cluster1
137,0.53,2.85,cluster1
138,0.37,2.8,cluster2
139,0.39,3.01,cluster1
140,0.3,2.93,cluster1
141,0.46,2.82,cluster2
142,0.42,2.7,cluster2
143,0.45,2.71,cluster2
144,0.59,3.06,cluster1
145,0.38,2.93,cluster1
146,0.61,2.74,cluster2
147,0.67,3.12,cluster1
148,0.55,2.86,cluster1
149,0.51,2.8,cluster2
150,0.39,2.93,cluster1
151,0.55,2.74,cluster2
152,0.54,2.85,cluster1
153,0.57,2.66,cluster2
154,0.37,2.73,cluster2
155,0.29,2.8,cluster2
156,0.5,3.06,cluster1
157,0.37,2.77,cluster2
158,0.5,2.83,cluster2
159,0.27,2.63,cluster2
160,0.45,2.77,cluster2
161,0.37,2.58,cluster2
162,0.66,2.79,cluster2
163,0.47,2.82,cluster2
164,0.23,2.78,cluster2
165,0.5,2.91,cluster1
166,0.5,2.86,cluster1
167,0.46,2.9,cluster1
168,0.51,2.85,cluster1
169,0.46,2.97,cluster1
170,0.51,2.97,cluster1
171,0.48,2.98,cluster1
172,0.65,2.73,cluster2
173,0.49,2.94,cluster1
174,0.66,2.86,cluster1
175,1.05,2.86,cluster1
176,0.41,3.01,cluster1
177,0.41,2.97,cluster1
178,0.47,2.89,cluster1
179,0.54,2.86,cluster1
180,0.53,3.29,cluster1
181,0.43,2.75,cluster2
182,0.61,2.81,cluster2
183,0.37,2.69,cluster2
184,0.56,2.72,cluster2
185,0.43,2.85,cluster1
186,0.47,2.78,cluster2
187,0.56,3.07,cluster1
188,0.61,2.89,cluster1
189,0.33,2.94,cluster1
190,0.57,2.58,cluster2
191,0.65,2.75,cluster2
192,0.41,2.85,cluster1
193,0.35,2.74,cluster2
194,0.4,2.82,cluster2
195,0.34,2.94,cluster1
196,0.31,2.65,cluster2
197,0.38,2.74,cluster2
198,0.31,3.01,cluster1
199,1.79,2.77,cluster0
200,0.62,2.89,cluster1
201,0.55,2.85,cluster1
202,0.54,2.74,cluster2
203,0.39,2.91,cluster1
204,0.42,2.93,cluster1
205,0.33,2.73,cluster2
206,0.27,2.71,cluster2
207,0.5,2.94,cluster1
208,0.48,2.54,cluster2
209,0.21,2.88,cluster1
210,0.32,2.79,cluster2
211,0.34,2.78,cluster2
212,0.51,2.66,cluster2
213,0.38,2.79,cluster2
214,0.37,2.94,cluster1
215,0.49,2.77,cluster2
216,0.26,2.77,cluster2
217,0.45,2.71,cluster2
218,0.47,2.79,cluster2
219,0.45,2.87,cluster1
220,0.58,2.87,cluster1
221,0.41,2.73,cluster2
222,0.5,2.8,cluster2
223,0.47,2.86,cluster1
224,0.61,2.79,cluster2
225,0.35,2.73,cluster2
226,1.78,2.75,cluster0
227,0.41,2.82,cluster2
228,0.57,2.91,cluster1
229,0.55,2.94,cluster1
230,0.58,3.14,cluster1
231,0.64,3.04,cluster1
232,0.31,2.7,cluster2
233,0.35,2.7,cluster2
234,0.38,2.97,cluster1
235,0.4,2.82,cluster2
236,0.65,2.81,cluster2
237,0.73,2.99,cluster1
238,0.64,2.78,cluster2
239,0.15,2.95,cluster1
240,0.54,2.74,cluster2
241,0.54,2.81,cluster2
242,0.56,2.72,cluster2
243,0.41,2.75,cluster2
244,0.23,2.89,cluster1
245,0.42,2.88,cluster1
246,0.46,2.93,cluster1
247,2.73,2.63,cluster0
248,0.33,2.94,cluster1
249,0.4,2.82,cluster2
250,0.56,2.81,cluster2
251,0.39,2.94,cluster1
252,0.4,2.56,cluster2
253,0.71,2.66,cluster2
254,0.42,2.59,cluster2
255,0.54,2.67,cluster2
256,0.39,2.98,cluster1
257,1.62,2.74,cluster0
258,0.48,3.06,cluster1
259,0.72,2.54,cluster2
260,0.53,2.85,cluster1
261,0.63,3.1,cluster1
262,0.53,3.02,cluster1
263,0.51,3.13,cluster1
264,0.41,2.94,cluster1
265,0.59,2.77,cluster2
266,0.5,2.82,cluster2
267,0.59,2.82,cluster2
268,0.45,2.64,cluster2
269,0.48,2.86,cluster1
270,0.42,2.93,cluster1
271,0.54,3.04,cluster1
272,0.64,2.66,cluster2
273,0.56,2.97,cluster1
274,2.91,2.78,cluster0
275,0.38,2.74,cluster2
276,0.5,2.82,cluster2
277,0.49,3.04,cluster1
278,0.48,2.63,cluster2
279,0.46,2.83,cluster2
280,0.51,2.74,cluster2
281,0.49,3.22,cluster1
282,0.59,2.8,cluster2
283,0.66,2.83,cluster2
284,0.59,2.78,cluster2
285,0.48,2.86,cluster1
286,2.25,2.67,cluster0
287,0.61,2.67,cluster2
288,0.46,2.82,cluster2
289,0.42,2.82,cluster2
290,0.54,2.87,cluster1
291,0.41,2.72,cluster2
292,0.3,2.89,cluster1
293,0.49,3.26,cluster1
294,0.38,2.69,cluster2
295,1.11,2.73,cluster2
296,0.51,2.65,cluster2
297,0.57,2.78,cluster2
298,0.39,2.85,cluster1
299,0.48,2.83,cluster2
300,0.53,2.82,cluster2
301,0.64,2.82,cluster2
302,0.61,2.82,cluster2
303,0.41,2.86,cluster1
304,0.5,2.77,cluster2
305,0.56,2.63,cluster2
306,0.47,2.86,cluster1
307,0.58,3.02,cluster1
308,0.74,3.22,cluster1
309,0.64,2.58,cluster2
310,0.49,2.77,cluster2
311,0.37,2.89,cluster1
312,0.45,2.83,cluster2
313,0.49,2.85,cluster1
314,0.53,2.78,cluster2
315,0.47,2.8,cluster2
316,0.47,2.75,cluster2
317,0.43,2.88,cluster1
318,0.53,2.8,cluster2
319,0.25,2.97,cluster1
320,0.39,3.09,cluster1
321,0.43,2.98,cluster1
322,0.53,2.69,cluster2
323,0.33,2.98,cluster1
324,0.51,2.95,cluster1
325,0.56,2.74,cluster2
326,0.54,2.97,cluster1
327,0.56,2.78,cluster2
328,0.51,2.77,cluster2
329,0.56,3.05,cluster1
330,0.34,2.88,cluster1
331,0.45,2.69,cluster2
332,0.62,2.78,cluster2
333,0.73,2.71,cluster2
334,0.62,2.62,cluster2
335,0.63,2.81,cluster2
336,0.4,2.7,cluster2
337,0.5,2.82,cluster2
338,0.54,2.94,cluster1
339,0.49,2.88,cluster1
340,0.46,2.88,cluster1
341,0.63,2.97,cluster1
342,0.35,2.97,cluster1
343,0.49,2.82,cluster2
344,0.5,2.66,cluster2
345,0.35,2.87,cluster1
346,0.59,2.93,cluster1
347,0.41,2.95,cluster1
348,0.48,2.94,cluster1
