@relation mydata-weka.filters.unsupervised.attribute.Remove-R5-6-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R7-8-weka.filters.unsupervised.attribute.Remove-R8-9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R1

@attribute GP numeric
@attribute PTS numeric
@attribute FG. numeric
@attribute X3P. numeric
@attribute FT. numeric
@attribute REB numeric
@attribute AST numeric
@attribute STL numeric
@attribute BLK numeric
@attribute TOV numeric
@attribute TARGET_5Yrs numeric

@data
36,7.4,34.7,25,69.9,4.1,1.9,0.4,0.4,1.3,0
35,7.2,29.6,23.5,76.5,2.4,3.7,1.1,0.5,1.6,0
74,5.2,42.2,24.4,67,2.2,1,0.5,0.3,1,0
58,5.7,42.6,22.6,68.9,1.9,0.8,0.6,0.1,1,1
48,4.5,52.4,0,67.4,2.5,0.3,0.3,0.4,0.8,1
75,3.7,42.3,32.5,73.2,0.8,1.8,0.4,0,0.7,0
62,6.6,43.5,50,81.1,2,0.6,0.2,0.1,0.7,1
48,5.7,41.5,30,87.5,1.7,0.2,0.2,0.1,0.7,1
65,2.4,39.2,23.3,71.4,0.8,2.3,0.3,0,1.1,0
42,3.7,38.3,21.4,67.8,1.1,0.3,0.2,0,0.7,0
35,2.3,36.5,33.3,81.8,0.9,0.7,0.1,0.1,0.3,0
40,3.6,39.8,13.6,77.6,1.2,0.4,0.3,0.1,0.6,1
27,1.3,47.2,0,28.6,2,0.2,0.2,0.6,0.3,1
45,5.6,32.3,30.1,86.1,2,0.5,0.5,0.3,0.5,0
44,2.4,53.7,0,50,1.4,0.2,0.2,0.4,0.6,1
40,2.6,51.4,14.3,68.4,0.4,1.4,0.3,0,0.8,1
49,2.1,37.6,0,64.2,1.2,0.2,0.3,0.2,0.5,0
41,1.7,34.8,21.4,73.1,0.3,1,0.3,0,0.4,0
82,19.2,49,22.7,82.9,11,3.6,1,0.6,1.9,0
82,19.2,49,22.7,82.9,11,3.6,1,0.6,1.9,1
80,14.3,52.5,11.1,65.4,8,2.4,1.1,0.8,2.2,1
82,13.3,48.9,16.7,66.6,5.1,2.5,1.5,0.3,2.2,1
76,10.6,37.5,13.3,73,2.9,2.2,2,0.2,2,1
61,12,45.4,32,74.8,3.1,4.6,1,0.3,2.5,0
32,6.3,53.3,0,62.5,5.2,0.4,0.5,0.5,1,0
76,10.4,51.4,0,80.7,5.9,1.6,0.7,0.6,1.5,1
52,9.3,45.1,43.4,83.6,1.9,3.7,0.6,0,1.8,0
76,8.8,41.5,0,73.6,5.1,1.7,0.8,0.5,1.3,1
78,10.1,44.7,39,74.1,3,2.2,1.2,0.3,1.2,0
51,8.4,49.7,0,66.7,5.4,0.8,0.5,0.5,1.5,1
64,6.2,55.2,0,57.2,6.4,0.5,0.4,1.2,0.8,1
55,10.4,52.9,0,51.5,6.1,0.7,0.4,1.5,1.4,1
82,7.4,41.9,4.3,80.6,2,3.9,1,0.3,1.7,1
48,9.1,52.8,0,66.9,5.7,0.7,0.8,1.1,1.8,1
34,4.3,30.2,18.5,91.2,1.4,3.1,0.6,0.2,1,0
42,8.5,40,35.7,83.3,2,1.1,0.8,0.1,1.1,1
82,5.5,37,14.5,74.1,1.7,3.8,0.7,0.1,1.2,1
64,7,39,23.1,74.5,2,3.2,1.1,0.1,1.5,1
80,7.4,52.9,0,69.1,4.2,0.4,0.6,0.8,1.1,1
77,5.6,46.7,21.4,81,3.8,0.4,0.3,0.6,0.9,1
55,4.1,41.7,37.5,76.1,1.5,1.5,0.7,0.2,0.8,0
48,5.1,40.7,9.5,80.4,1.7,2.1,0.9,0,1.3,0
51,5,39.9,27,87.5,1.5,2.8,0.9,0,1.4,0
51,3.9,40.2,36.7,76.9,2.1,0.8,0.3,0.2,0.7,0
72,4.6,42.3,0,80.3,1.3,1.9,0.6,0.1,1.3,1
69,3.6,45.2,100,82.1,2.7,0.6,0.5,0.3,0.6,1
54,5.7,56.8,0,66.1,3.4,0.3,0.6,0.7,0.8,1
24,4.1,30.3,36.6,66.7,0.7,1.5,0.7,0.1,1.3,0
50,4.1,41.5,19.2,75.4,1.1,1.8,0.6,0.1,1,1
56,3.4,45.6,0,65.5,1.2,1.1,0.6,0.2,0.8,1
67,3.7,38.8,29.2,75.6,0.7,1.4,0.4,0.1,1,0
50,2.5,38,14.3,65.9,0.8,1.6,0.7,0.1,1,1
45,2.7,47.5,0,75,1.5,0.3,0.2,0.2,0.6,1
38,3.4,36.8,22.2,82.6,0.9,0.7,0.3,0.1,0.6,0
42,2.8,43.9,0,52.5,1.9,0.3,0.1,0.1,0.8,0
54,3.2,45.6,18.8,74.4,1.3,0.6,0.2,0.1,0.5,0
35,4,39.2,20,53.6,1.2,0.6,0.4,0.2,0.8,0
37,2.8,44.3,18.2,81,1.1,0.3,0.2,0.1,0.5,0
46,2.6,43.1,27,52.6,0.8,0.5,0.2,0,0.3,0
51,2.2,38.4,43.3,83.3,0.8,0.3,0.1,0,0.3,0
40,2.2,38,0,75.6,1.2,0.3,0.1,0.1,0.5,0
