@relation 'tripadvisor_review-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-3,5-7,9-10'

@attribute 'Category 4' numeric
@attribute 'Category 8' numeric

@data
0.62,2.79
0.64,2.63
0.53,2.8
0.57,2.96
0.57,2.78
0.27,2.89
0.32,2.66
0.41,2.81
0.64,2.79
0.26,2.82
0.75,2.89
0.38,2.93
0.45,2.87
0.45,2.91
0.51,2.82
0.5,2.74
0.34,2.73
0.66,3.04
0.38,2.86
0.58,2.93
0.41,2.7
0.42,2.74
0.41,2.74
0.41,2.71
0.54,2.77
0.48,2.54
0.75,2.57
0.59,2.79
0.38,2.69
0.45,2.75
0.5,2.78
0.63,2.65
0.41,2.8
0.58,2.9
0.29,2.94
0.43,3.01
0.32,2.78
0.5,2.91
0.62,2.86
0.62,2.88
0.24,2.61
0.41,2.74
0.24,2.82
0.56,2.86
0.62,3.1
0.39,2.9
0.34,3.15
0.35,2.86
0.4,2.9
0.65,2.62
0.38,2.93
0.48,2.71
0.47,2.59
0.51,2.82
0.58,2.78
0.37,2.94
0.54,2.86
0.39,2.82
0.64,2.79
0.64,2.81
0.55,2.62
0.45,3.03
0.45,2.82
0.42,3.1
0.37,2.9
0.62,2.78
0.43,2.79
0.5,2.77
0.34,2.8
0.48,2.74
0.67,2.82
0.96,2.82
0.47,2.81
0.41,2.83
0.56,2.86
0.45,2.69
0.42,2.81
0.65,2.79
0.35,2.78
0.47,2.7
0.4,3.07
0.46,2.83
1.65,2.62
0.58,2.88
0.5,2.96
0.34,2.87
1.1,2.69
0.39,2.79
1.68,2.71
0.54,2.86
0.53,2.81
0.49,2.91
0.54,2.74
0.64,2.79
0.64,2.67
0.46,2.98
0.55,2.79
0.37,2.91
0.53,2.86
0.47,2.86
0.5,2.9
0.37,2.94
0.65,2.82
0.45,2.67
0.39,2.9
0.39,2.73
0.53,2.94
0.43,2.74
0.39,2.8
0.53,2.83
0.67,2.96
0.34,2.85
0.66,2.79
0.49,3.04
0.96,2.82
0.61,3.01
0.51,2.83
0.54,2.78
0.45,2.58
0.43,2.7
0.56,2.82
0.66,2.82
0.42,2.58
0.69,2.86
0.59,2.72
0.46,2.79
0.33,2.77
0.66,2.81
0.35,2.89
0.39,2.7
0.46,2.71
0.51,2.85
0.55,2.74
0.62,3.02
0.3,2.69
0.61,2.99
0.61,3.02
0.53,2.85
0.37,2.8
0.39,3.01
0.3,2.93
0.46,2.82
0.42,2.7
0.45,2.71
0.59,3.06
0.38,2.93
0.61,2.74
0.67,3.12
0.55,2.86
0.51,2.8
0.39,2.93
0.55,2.74
0.54,2.85
0.57,2.66
0.37,2.73
0.29,2.8
0.5,3.06
0.37,2.77
0.5,2.83
0.27,2.63
0.45,2.77
0.37,2.58
0.66,2.79
0.47,2.82
0.23,2.78
0.5,2.91
0.5,2.86
0.46,2.9
0.51,2.85
0.46,2.97
0.51,2.97
0.48,2.98
0.65,2.73
0.49,2.94
0.66,2.86
1.05,2.86
0.41,3.01
0.41,2.97
0.47,2.89
0.54,2.86
0.53,3.29
0.43,2.75
0.61,2.81
0.37,2.69
0.56,2.72
0.43,2.85
0.47,2.78
0.56,3.07
0.61,2.89
0.33,2.94
0.57,2.58
0.65,2.75
0.41,2.85
0.35,2.74
0.4,2.82
0.34,2.94
0.31,2.65
0.38,2.74
0.31,3.01
1.79,2.77
0.62,2.89
0.55,2.85
0.54,2.74
0.39,2.91
0.42,2.93
0.33,2.73
0.27,2.71
0.5,2.94
0.48,2.54
0.21,2.88
0.32,2.79
0.34,2.78
0.51,2.66
0.38,2.79
0.37,2.94
0.49,2.77
0.26,2.77
0.45,2.71
0.47,2.79
0.45,2.87
0.58,2.87
0.41,2.73
0.5,2.8
0.47,2.86
0.61,2.79
0.35,2.73
1.78,2.75
0.41,2.82
0.57,2.91
0.55,2.94
0.58,3.14
0.64,3.04
0.31,2.7
0.35,2.7
0.38,2.97
0.4,2.82
0.65,2.81
0.73,2.99
0.64,2.78
0.15,2.95
0.54,2.74
0.54,2.81
0.56,2.72
0.41,2.75
0.23,2.89
0.42,2.88
0.46,2.93
2.73,2.63
0.33,2.94
0.4,2.82
0.56,2.81
0.39,2.94
0.4,2.56
0.71,2.66
0.42,2.59
0.54,2.67
0.39,2.98
1.62,2.74
0.48,3.06
0.72,2.54
0.53,2.85
0.63,3.1
0.53,3.02
0.51,3.13
0.41,2.94
0.59,2.77
0.5,2.82
0.59,2.82
0.45,2.64
0.48,2.86
0.42,2.93
0.54,3.04
0.64,2.66
0.56,2.97
2.91,2.78
0.38,2.74
0.5,2.82
0.49,3.04
0.48,2.63
0.46,2.83
0.51,2.74
0.49,3.22
0.59,2.8
0.66,2.83
0.59,2.78
0.48,2.86
2.25,2.67
0.61,2.67
0.46,2.82
0.42,2.82
0.54,2.87
0.41,2.72
0.3,2.89
0.49,3.26
0.38,2.69
1.11,2.73
0.51,2.65
0.57,2.78
0.39,2.85
0.48,2.83
0.53,2.82
0.64,2.82
0.61,2.82
0.41,2.86
0.5,2.77
0.56,2.63
0.47,2.86
0.58,3.02
0.74,3.22
0.64,2.58
0.49,2.77
0.37,2.89
0.45,2.83
0.49,2.85
0.53,2.78
0.47,2.8
0.47,2.75
0.43,2.88
0.53,2.8
0.25,2.97
0.39,3.09
0.43,2.98
0.53,2.69
0.33,2.98
0.51,2.95
0.56,2.74
0.54,2.97
0.56,2.78
0.51,2.77
0.56,3.05
0.34,2.88
0.45,2.69
0.62,2.78
0.73,2.71
0.62,2.62
0.63,2.81
0.4,2.7
0.5,2.82
0.54,2.94
0.49,2.88
0.46,2.88
0.63,2.97
0.35,2.97
0.49,2.82
0.5,2.66
0.35,2.87
0.59,2.93
0.41,2.95
0.48,2.94
0.63,2.78
0.39,2.71
0.42,2.95
0.29,2.96
0.42,3.07
0.29,2.72
0.81,2.75
1.04,2.89
0.55,2.83
0.54,3.25
0.3,2.62
0.56,2.82
0.53,2.8
0.64,2.67
0.37,3.01
0.55,3.17
0.61,2.73
0.59,2.79
0.56,3.04
0.45,2.94
0.53,2.7
0.3,2.82
0.46,2.73
1.68,2.79
0.69,2.86
0.53,2.94
0.67,2.9
0.64,2.71
0.5,2.94
0.54,2.94
0.51,2.66
0.24,3.02
0.17,2.99
0.87,2.95
0.33,2.87
0.22,2.85
0.69,2.66
0.54,2.82
0.61,2.78
0.57,2.7
0.65,2.74
0.5,2.97
0.29,2.66
0.63,3.13
0.5,2.91
0.37,3.14
0.48,2.87
0.43,2.66
0.49,2.86
0.26,2.89
0.41,2.86
0.48,3.05
0.57,2.94
0.78,2.97
0.47,2.7
0.56,2.74
0.63,2.75
0.43,2.77
0.63,2.78
0.45,2.66
0.61,2.91
0.33,2.74
0.56,2.83
0.54,2.66
0.91,2.7
0.53,2.87
0.63,2.78
0.31,3.15
0.29,2.93
0.43,2.89
0.66,2.87
0.43,2.64
0.37,2.61
1.58,2.74
0.42,3.07
0.37,2.86
0.78,2.85
0.41,2.78
0.32,2.9
0.45,2.73
0.38,2.93
0.66,2.95
0.67,2.96
0.49,2.54
0.58,2.71
0.47,2.73
0.43,2.89
0.46,2.88
2.11,2.78
0.49,3.13
0.64,2.77
0.46,2.7
0.42,2.63
0.43,2.75
0.5,2.89
0.62,2.82
0.19,2.7
0.48,2.78
0.29,2.91
0.45,2.82
0.43,2.91
0.4,2.86
0.57,2.74
0.45,2.83
0.49,2.74
0.57,2.75
0.29,2.7
0.46,2.67
0.56,2.8
0.53,2.75
0.48,2.75
0.5,3.2
0.24,2.61
0.54,2.78
0.46,3.07
0.61,2.88
0.64,3.04
0.3,2.67
0.65,3.38
0.4,2.78
0.48,2.77
0.38,2.42
0.43,2.95
0.46,2.72
0.85,2.94
0.32,2.63
0.64,2.94
0.4,2.82
0.32,2.62
0.85,2.69
0.42,2.58
0.53,2.66
0.71,2.86
0.55,2.74
0.53,3.18
0.51,2.9
0.27,2.66
0.62,2.94
0.57,3.06
0.31,2.91
0.79,2.77
0.37,2.69
0.33,3.03
0.39,2.79
0.53,2.79
0.57,2.78
0.39,2.95
0.48,2.88
0.51,2.75
0.45,2.96
0.5,2.98
0.51,2.7
0.32,2.86
0.41,2.83
0.35,3.01
0.58,2.99
0.51,2.89
0.48,3.05
0.64,2.74
0.51,2.81
0.33,3.07
0.55,2.66
0.33,2.94
0.53,2.9
0.65,2.69
0.42,2.57
0.5,2.97
0.72,2.9
0.53,2.9
0.37,2.62
0.55,3.23
0.33,2.89
0.61,2.77
0.57,2.58
0.42,2.86
0.57,2.95
0.49,2.7
0.49,2.78
0.59,3.06
0.39,2.72
0.58,2.95
0.64,2.78
0.69,2.9
0.56,2.66
0.45,2.9
0.41,2.66
0.45,2.77
0.72,2.75
0.51,2.66
0.47,2.83
0.42,2.83
0.35,2.86
0.34,2.64
0.46,2.98
0.4,2.77
0.57,2.74
0.41,2.98
0.46,2.59
0.58,2.95
0.61,2.82
0.48,2.95
0.35,2.85
0.56,2.72
0.47,3.06
0.75,2.85
0.53,2.71
0.5,2.88
0.49,2.82
0.53,2.74
0.33,2.98
0.35,3.03
0.5,2.63
0.49,2.61
0.55,2.85
0.5,2.64
0.62,2.86
0.24,2.74
0.57,2.86
0.48,2.98
0.56,2.62
0.43,2.95
0.56,2.72
0.29,2.98
0.39,2.85
0.41,2.67
0.62,3.02
0.66,2.83
0.43,3.03
0.56,2.8
0.56,2.81
1.12,2.8
0.33,2.74
0.47,2.79
0.62,2.78
0.45,2.86
0.47,2.72
0.48,3.01
0.33,2.88
0.32,2.79
0.58,2.66
0.39,2.89
0.5,2.81
0.31,2.98
2.38,2.81
0.54,2.87
0.39,2.96
0.35,2.98
0.49,2.97
0.65,2.86
0.5,2.7
0.5,2.78
0.4,2.83
3.1,2.77
0.61,2.61
